stage,scope,metric,mean,std
full,bias_flat,probe_disagreement_relative_to_bias_corr,0.0018857663469161255,4.0069365132635924e-05
full,bias_flat,probe_disagreement_relative_to_bias_iid,0.0010736142707956228,1.524005806708252e-05
full,bias_flat,probe_disagreement_endpoint_corr,0.016905958821519042,0.0003611872502343759
full,bias_flat,probe_disagreement_endpoint_iid,0.009633684719115944,0.00013645050586979786
full,bias_flat,probe_error_to_P3_D_corr,8.477227566250602e-07,3.638950468311057e-08
full,bias_flat,probe_error_to_P3_D_iid,2.7513414907588544e-07,7.836651763041707e-09
full,bias_flat,probe_error_to_P3_endpoint_corr,0.0018562400103665805,3.943120757675681e-05
full,bias_flat,probe_error_to_P3_endpoint_iid,0.00010219887650359997,1.4362202558607568e-06
full,bias_flat,P3_reliable_corr,1.0,0.0
full,bias_flat,P3_reliable_iid,1.0,0.0
full,bias_flat,P3_reliable_paired,1.0,0.0
full,bias_flat,clean_pre_q_norm_min,0.00010827558920330678,9.122907882578642e-06
full,bias_flat,global_noise_signal_ratio_mean_corr,671.9352279725622,11.695619318687196
full,bias_flat,global_noise_signal_ratio_mean_iid,1443.93852219295,25.131290137564083
full,bias_flat,block_noise_signal_ratio_mean_corr,1019.05534886011,13.076118576314174
full,bias_flat,block_noise_signal_ratio_mean_iid,2187.73096436881,27.66044236237314
full,bias_flat,block_noise_signal_ratio_max_corr,2862.1089127754253,69.94731697988628
full,bias_flat,block_noise_signal_ratio_max_iid,6134.671890675697,147.1349748112347
full,paired_reliability,paired_reliable_seed_count,3,0.0
full,paired_reliability,paired_reliable_fraction,1.0,0.0
full,stage_corr_linear,J,0.032714170774883033,5.695972749357147e-06
full,stage_corr_linear,D,0.4675679857094048,1.4663353335000307e-05
full,stage_corr_linear,C,0.06996666135253136,1.4376319303868606e-05
full,stage_corr_linear,G_C,0.9977783424914907,5.686702086180482e-07
full,stage_corr_linear,G_J,0.9995169208955854,1.3291588677009137e-07
full,stage_corr_norm,J,0.03760375376651556,1.387074101626204e-06
full,stage_corr_norm,D,0.5370654267883395,1.7607349837817652e-07
full,stage_corr_norm,C,0.07001708151561244,2.5932277280504758e-06
full,stage_corr_norm,G_C,0.9977609497381739,5.754383323031317e-07
full,stage_corr_norm,G_J,0.9977609619137695,5.759008501693176e-07
full,stage_corr_ns,J,20.73593767079777,0.009177348594955422
full,stage_corr_ns,D,84.31220985534601,0.0017797398062508643
full,stage_corr_ns,C,0.24594228802649676,0.00011382044226034345
full,stage_corr_ns,G_C,0.9906654844451467,3.0234996022494546e-06
full,stage_corr_ns,G_J,0.9906654859618524,3.012161471619566e-06
full,stage_corr_scale,J,20.73593766957666,0.009177348051308785
full,stage_corr_scale,D,84.31220985526107,0.0017797396778874604
full,stage_corr_scale,C,0.24594228801226126,0.0001138204356125654
